jezuz,38100,20/03/2019 17:22:59
nicegame,300,20/03/2019 17:45:18
AstrOid,1700,20/03/2019 19:52:22
theSaucy,2700,20/03/2019 21:59:56
Saucer,1600,20/03/2019 22:07:13
thebeast,25000,20/03/2019 22:12:25
teee,2700,20/03/2019 22:24:33
ownage,39900,20/03/2019 23:43:47
bestone,7600,20/03/2019 23:58:17
ClassicRoid,37600,21/03/2019 00:22:16
PWNED,100,21/03/2019 00:27:18
noooo,600,21/03/2019 00:48:41
DamnnMan,100,21/03/2019 00:49:53
NJAY,-500,21/03/2019 00:51:40
BEASTT,500,21/03/2019 00:53:14
NOPE,500,21/03/2019 00:54:58
BOSSMAN,3000,21/03/2019 00:57:13
NOOB,1100,21/03/2019 03:11:47
NOOB,500,21/03/2019 13:26:01
NOOB,41600,21/03/2019 15:40:10
NOOB,40500,21/03/2019 15:47:01
NOOB,44800,21/03/2019 16:02:28
NOOB,49400,21/03/2019 17:30:34
NOOB,42200,21/03/2019 18:57:20
NOOB,-500,21/03/2019 23:52:40
NOOB,51000,21/03/2019 23:56:16
NOOB,80900,22/03/2019 01:21:16
NOOB,39700,22/03/2019 02:04:06
NOOB,54500,22/03/2019 02:10:45
NOOB,39100,22/03/2019 02:16:36
NOOB,48100,22/03/2019 02:19:52
NOOB,75500,22/03/2019 04:29:32
NOOB,200,22/03/2019 05:56:22
NOOB,1500,22/03/2019 06:20:52
NOOB,200,22/03/2019 06:44:44
NOOB,700,22/03/2019 06:48:09
NOOB,700,22/03/2019 06:50:50
NOOB,42400,31/05/2019 14:26:12
NOOB,44700,24/06/2019 20:02:37
GLODIE,-600,16/03/2020 20:47:29
GLODIE,46900,16/03/2020 20:50:12
